10,10,10,10,10,10,10,10,10,269,269,10,10,10,10,10,10,10,10,10
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10,11,11,11,10,10,10,10,10,11,11,11,10,10,10,10,10,11,10,10
10,11,10,11,11,10,10,10,10,11,10,10,10,10,10,10,10,11,11,11
10,10,10,7,8,8,8,8,8,8,8,8,8,8,8,8,9,11,10,10
10,10,10,47,48,48,48,48,48,48,48,48,48,48,48,48,49,10,11,10
10,10,10,47,48,48,48,48,48,48,48,48,48,48,48,48,49,11,10,10
10,10,10,87,88,88,88,88,88,88,88,88,88,88,88,88,89,10,10,10
10,10,11,10,10,10,11,10,10,10,10,10,10,11,10,10,10,10,10,10
10,10,11,11,10,10,11,10,10,10,10,10,10,11,11,10,10,11,10,11
10,11,10,10,10,10,11,11,11,11,10,10,10,10,11,11,11,11,11,10
10,10,10,10,10,10,10,10,11,10,11,10,10,10,10,10,11,11,10,10
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
